Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
Nigeria,2011,Developing,52.3,375.0,513,8.75,187.5733187,46.0,18843,22.8,802,48.0,3.69,48.0,4.7,2527.9423,16287776.0,11.0,1.9,0.5,9.6,HIV/AIDS,Autoimmune,13.31,1.67,6.14,36-60,Male,253034,90.44,4.52,2.6,Vaccination,18396,No,94.5,310,0.78,81373,0.46,77.59,52,1,1,134,201,0,1,158,0,0.8,2,1,2,1
Canada,2010,Developing,81.2,7.0,2,8.4,8649.674911,56.0,99,64.1,2,88.0,11.2,89.0,0.1,47447.4762,345274.0,0.5,0.4,0.898,15.9,Cancer,Bacterial,1.43,1.64,0.75,36-60,Other,60834,50.78,3.66,9.35,Therapy,31131,No,58.32,4471,3.29,48601,0.84,30.39,40,1,0,110,167,0,0,114,1,2.0,1,0,3,0
Australia,2001,Developed,79.9,75.0,1,9.53,3064.301144,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5,Measles,Respiratory,14.14,8.46,8.94,61+,Male,218807,72.74,4.85,6.07,Medication,31548,No,69.65,1549,0.77,25926,0.72,49.08,63,0,2,135,252,0,0,172,0,0.0,2,0,2,1
Nigeria,2004,Developing,48.5,47.0,563,9.76,57.22555815,80.94046121593291,31521,18.8,907,43.0,4.33,33.0,5.4,648.815852,135393616.0,13.2,13.2,0.445,8.5,Measles,Bacterial,8.33,4.91,9.28,36-60,Female,982018,72.71,1.55,3.4,Therapy,39426,Yes,81.51,4364,0.78,94414,0.44,48.53,54,1,2,150,232,0,0,165,0,1.6,2,0,3,1
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,80.94046121593291,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6,Tuberculosis,Bacterial,18.95,12.47,9.55,61+,Other,341014,60.99,1.44,3.98,Vaccination,7760,No,65.69,642,9.83,48604,0.68,56.23,71,0,1,160,302,0,1,162,0,0.4,2,2,2,1
Brazil,2004,Developing,72.0,17.0,81,6.85,186.6090485,96.0,0,46.9,93,99.0,7.7,99.0,0.1,3623.47667,184738458.0,3.2,3.2,0.695,14.0,Leprosy,Respiratory,12.62,12.28,8.34,36-60,Other,98484,98.26,0.59,2.08,Surgery,49728,No,80.5,1563,2.47,64484,0.73,25.48,55,0,1,132,342,0,1,166,0,1.2,2,0,2,1
France,2008,Developing,89.0,88.0,3,11.9,7002.785925,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1,Hepatitis,Neurological,12.52,6.46,1.69,36-60,Other,813966,57.04,4.29,3.26,Therapy,2625,Yes,86.17,482,3.87,43122,0.41,59.69,45,1,3,110,264,0,1,132,0,1.2,1,0,3,0
Germany,2008,Developed,79.9,8.0,2,11.36,8285.264655,87.0,917,59.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6,Leprosy,Genetic,12.44,3.01,1.62,36-60,Other,460864,76.8,0.74,5.34,Therapy,17183,No,91.65,4306,9.23,39930,0.69,55.74,59,1,0,170,326,0,0,140,1,3.4,0,0,3,0
Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717463,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,Hepatitis,Genetic,4.76,14.96,5.96,61+,Other,216724,79.63,1.88,5.56,Vaccination,47066,No,92.1,3227,2.03,24441,0.75,27.51,64,1,0,128,263,0,1,105,1,0.2,1,1,3,1
Argentina,2012,Developing,75.9,12.0,9,8.35,1133.558003,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2,Hypertension,Cardiovascular,8.29,11.83,6.01,36-60,Male,761422,76.59,5.0,9.78,Surgery,17664,No,79.07,763,1.56,68476,0.72,49.94,39,1,2,140,321,0,0,182,0,0.0,2,0,2,1
Italy,2008,Developed,81.5,61.0,2,7.96,66.37840495,96.0,1617,59.9,2,96.0,8.89,96.0,0.1,464.18465,58826731.0,0.5,0.5,0.866,16.3,Polio,Metabolic,1.1,14.19,9.34,61+,Other,268154,77.07,2.32,8.17,Medication,48191,Yes,67.62,4035,0.85,7776,0.6,64.07,70,1,1,156,245,0,0,143,0,0.0,2,0,2,1
Australia,2006,Developed,81.2,66.0,1,10.31,6187.062017,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,0.6,0.915,20.3,Cholera,Bacterial,17.03,7.63,3.4,36-60,Female,781326,58.38,1.88,3.41,Medication,31843,Yes,84.04,426,7.39,50252,0.57,82.52,41,0,1,130,204,0,0,172,0,1.4,2,0,2,1
Japan,2000,Developed,81.1,74.0,4,7.97,5926.296654,80.94046121593291,22497,22.2,5,98.0,7.53,85.0,0.1,38532.488,126843.0,1.6,1.4,0.852,14.5,Hypertension,Chronic,16.91,10.89,8.42,36-60,Other,256987,85.72,2.54,5.76,Vaccination,45629,No,79.44,454,1.27,8630,0.59,48.37,52,1,0,128,204,1,1,156,1,1.0,1,0,0,0
Brazil,2011,Developing,74.1,152.0,51,7.58,1084.999766,98.0,43,52.8,57,98.0,8.9,99.0,0.1,13167.47289,198686688.0,2.9,2.8,0.724,14.0,Influenza,Respiratory,12.93,1.07,8.15,36-60,Other,654425,66.97,4.79,5.25,Medication,4589,No,83.15,4264,2.5,82494,0.85,66.75,50,1,0,144,200,0,0,126,1,0.9,1,0,3,0
Germany,2013,Developed,86.0,71.0,2,10.94,895.8779503,88.0,1771,61.4,3,94.0,11.16,95.0,0.1,4653.91143,864565.0,1.1,1.1,0.919,16.9,Measles,Metabolic,14.87,8.04,2.75,61+,Other,66413,72.97,3.75,5.94,Therapy,8387,No,59.22,880,9.0,71745,0.67,84.08,67,1,0,125,254,1,1,163,0,0.2,1,2,3,0
Italy,2004,Developed,89.0,66.0,2,8.98,4270.914882,96.0,599,57.6,3,97.0,8.49,94.0,0.1,31174.56118,57685327.0,0.5,0.5,0.846,15.6,Alzheimer's Disease,Autoimmune,8.07,5.12,4.71,36-60,Other,660350,92.98,1.47,2.25,Surgery,46243,Yes,56.23,2201,8.55,25666,0.86,44.79,56,1,1,120,240,0,1,169,0,0.0,0,0,2,1
France,2008,Developing,89.0,88.0,3,11.9,7002.785925,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1,Zika,Metabolic,18.95,11.87,9.76,61+,Male,559431,71.17,2.85,8.01,Therapy,37557,No,75.82,713,3.9,73130,0.66,41.85,62,1,1,120,281,0,0,103,0,1.4,1,1,3,0
Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,Hepatitis,Bacterial,16.92,0.79,2.02,36-60,Male,244643,84.95,2.37,9.58,Surgery,24962,Yes,52.19,4601,5.23,63728,0.88,79.66,54,0,2,160,201,0,1,163,0,0.0,2,1,2,1
Indonesia,2005,Developing,67.2,19.0,163,0.06,5.381782562,65.0,15853,19.0,201,79.0,2.79,72.0,0.1,126.928834,22671273.0,1.9,1.9,0.629,11.1,Hepatitis,Metabolic,10.23,0.26,6.75,36-60,Female,144910,74.98,2.38,2.85,Vaccination,16158,No,77.37,1853,6.14,7479,0.66,78.34,45,1,0,142,309,0,0,147,1,0.0,1,3,3,0
Brazil,2012,Developing,74.5,148.0,49,7.55,843.1946259,96.0,2,53.6,54,96.0,8.26,95.0,0.1,12291.46685,256983.0,2.8,2.8,0.73,14.2,Measles,Bacterial,4.53,8.05,2.68,36-60,Male,504774,99.61,0.61,2.21,Medication,43189,Yes,53.25,2003,7.69,25259,0.55,66.45,58,1,0,114,318,0,2,140,0,4.4,0,3,1,0
India,2005,Developing,64.4,211.0,1500,1.27,3.5096369,8.0,36711,13.5,2000,65.0,4.28,65.0,0.3,77.819,1144118674.0,27.2,28.1,0.526,9.4,Zika,Infectious,5.1,7.9,7.55,36-60,Other,2542,90.33,1.74,1.79,Surgery,14117,No,83.53,1142,6.62,17253,0.9,48.2,44,1,1,120,263,0,1,173,0,0.0,2,0,3,1
Australia,2008,Developed,81.3,66.0,1,10.76,8547.292357,94.0,65,62.9,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,0.6,0.921,19.1,Tuberculosis,Genetic,13.54,11.02,4.28,36-60,Other,838647,74.68,1.49,4.92,Medication,8633,Yes,56.81,3755,6.78,21706,0.5,45.46,59,0,0,174,249,0,1,143,1,0.0,1,0,2,0
Australia,2002,Developed,79.9,73.0,1,9.84,46.3871819,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1,Measles,Respiratory,9.28,8.95,1.4,61+,Female,973455,93.07,3.27,6.52,Therapy,7280,No,71.31,1381,6.73,1700,0.43,21.57,70,1,0,145,174,0,1,125,1,2.6,0,0,3,0
Indonesia,2013,Developing,68.7,181.0,124,0.09,22.8478308,85.0,8419,25.6,148,86.0,2.93,85.0,0.3,362.663981,25232263.0,1.5,1.3,0.677,12.9,Rabies,Parasitic,13.24,2.76,5.63,36-60,Female,390945,62.81,3.04,9.12,Vaccination,47988,No,60.57,321,6.35,71357,0.77,76.06,45,1,1,128,308,0,0,170,0,0.0,2,0,2,1
Italy,2013,Developed,82.3,58.0,2,7.35,483.1916844,96.0,0,62.6,2,96.0,9.22,96.0,0.1,3537.27441,6233948.0,0.5,0.6,0.876,16.5,Zika,Bacterial,5.31,1.06,8.88,36-60,Female,844423,54.48,4.58,8.56,Medication,28434,Yes,59.47,1810,8.87,71037,0.54,87.76,60,0,2,102,318,0,1,160,0,0.0,2,1,2,1
France,2012,Developing,81.5,83.0,3,11.5,751.3793553,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1,Rabies,Infectious,3.85,8.92,3.63,19-35,Male,347363,67.79,2.74,3.86,Surgery,43677,No,84.62,4184,8.69,48730,0.52,56.61,35,1,0,126,282,0,0,156,1,0.0,2,0,3,0
Australia,2015,Developed,82.8,59.0,1,4.602860787172012,0.0,93.0,74,66.6,1,93.0,5.9381895280236,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,Measles,Genetic,4.63,2.06,2.19,36-60,Male,214943,94.88,4.27,1.44,Vaccination,6981,Yes,76.26,1483,7.98,20589,0.62,74.94,58,1,0,128,216,0,0,131,1,2.2,1,3,3,0
China,2014,Developing,75.8,86.0,171,5.78,109.8743903,99.0,52628,31.9,198,99.0,5.55,99.0,0.1,7683.5238,136427.0,3.7,3.0,0.723,13.1,Hepatitis,Viral,5.54,13.52,9.75,61+,Male,410627,70.75,3.95,6.04,Medication,513,Yes,83.76,2482,2.38,89225,0.82,46.98,63,1,0,140,187,0,0,144,1,4.0,2,2,3,0
Nigeria,2012,Developing,52.7,374.0,505,8.54,204.7186256,42.0,6447,23.5,788,42.0,3.3,42.0,4.4,2755.297787,167297284.0,1.7,1.6,0.507,9.7,COVID-19,Infectious,16.15,13.05,4.28,61+,Other,751331,86.98,3.28,2.59,Medication,29182,No,77.05,2952,5.38,38417,0.75,67.35,64,1,3,170,227,0,0,155,0,0.6,1,0,3,1
Saudi Arabia,2004,Developing,73.1,12.0,9,0.06,816.4795082,96.0,1880,59.4,11,96.0,3.58,96.0,0.1,11138.8746,12753375.120052494,7.2,7.3,0.754,12.3,Hypertension,Parasitic,18.06,6.42,7.44,61+,Other,769999,93.65,4.59,4.86,Surgery,3827,Yes,80.31,4401,1.81,66068,0.53,39.81,64,1,3,170,227,0,0,155,0,0.6,1,0,3,1
India,2010,Developing,66.4,196.0,1200,2.77,57.73359864,38.0,31458,15.9,1600,76.0,4.28,79.0,0.2,1345.77153,12398691.0,27.0,27.8,0.569,10.4,Diabetes,Metabolic,19.68,4.64,4.15,36-60,Other,427491,98.68,2.01,4.5,Medication,7187,No,80.93,911,1.1,56494,0.8,34.12,41,0,1,105,198,0,1,168,0,0.0,2,1,2,1
Turkey,2000,Developing,74.0,143.0,44,1.54,421.2956602,71.0,16244,53.5,54,85.0,4.95,85.0,0.1,4316.553895,6324121.0,5.3,5.2,0.641,10.7,Alzheimer's Disease,Infectious,0.49,9.79,6.75,36-60,Other,553227,77.69,4.43,5.41,Medication,31133,No,71.1,3614,1.38,18900,0.85,81.51,54,0,2,160,201,0,1,163,0,0.0,2,1,2,1
India,2014,Developing,68.0,184.0,957,3.07,86.52153895,79.0,79563,18.1,1200,84.0,4.69,85.0,0.2,1573.11889,1293859294.0,26.8,27.4,0.607,11.6,Alzheimer's Disease,Viral,18.43,0.96,2.4,36-60,Female,259836,53.31,3.51,5.44,Vaccination,11585,No,65.41,4610,6.81,49251,0.59,57.59,48,1,2,124,255,1,1,175,0,0.0,2,2,2,1
Mexico,2007,Developing,76.0,123.0,38,5.35,105.7476131,98.0,0,57.9,45,98.0,5.92,98.0,0.1,933.341687,111836346.0,1.7,1.7,0.731,12.3,Alzheimer's Disease,Parasitic,0.17,3.71,6.35,36-60,Other,218238,63.39,0.78,2.78,Vaccination,2638,No,60.16,144,9.32,86748,0.87,35.5,57,1,2,150,168,0,1,174,0,1.6,2,0,2,1
Canada,2012,Developing,81.6,68.0,2,8.3,9748.636237,7.0,10,65.3,2,99.0,1.78,95.0,0.1,52496.69487,3475545.0,0.5,0.5,0.907,15.9,Hypertension,Respiratory,10.49,5.08,8.16,61+,Female,127325,84.48,4.15,7.9,Medication,46695,No,96.88,1443,9.23,45253,0.53,88.38,66,0,0,178,228,1,1,165,1,1.0,1,2,3,0
Argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,Ebola,Chronic,3.91,5.82,1.79,36-60,Female,114319,82.28,2.21,3.07,Medication,36751,Yes,63.72,4007,6.81,67900,0.53,59.62,43,0,2,122,213,0,1,165,0,0.2,1,0,2,1
Nigeria,2008,Developing,59.0,386.0,536,9.3,105.5910629,41.0,9960,21.0,848,6.0,4.0,53.0,5.0,1383.893354,1534739.0,12.0,11.9,0.481,9.2,COVID-19,Parasitic,7.46,7.49,9.49,36-60,Female,244718,62.77,4.76,9.74,Medication,17647,Yes,56.78,961,2.24,67929,0.45,83.97,60,0,3,150,240,0,1,171,0,0.9,2,0,2,1
India,2000,Developing,62.5,224.0,1800,0.93,19.26615743,80.94046121593291,38835,11.4,2500,57.0,4.26,58.0,0.3,438.864634,1535912.0,27.7,28.6,0.489,8.3,Tuberculosis,Metabolic,3.04,11.08,8.13,36-60,Female,295876,78.36,3.69,2.88,Medication,13385,No,82.9,2335,3.21,77854,0.77,61.11,60,1,0,145,282,0,0,142,1,2.8,1,2,3,0
Brazil,2012,Developing,74.5,148.0,49,7.55,843.1946259,96.0,2,53.6,54,96.0,8.26,95.0,0.1,12291.46685,256983.0,2.8,2.8,0.73,14.2,Alzheimer's Disease,Parasitic,12.78,6.68,6.95,61+,Female,833950,59.31,0.7,4.96,Medication,38350,Yes,93.64,3264,0.11,18170,0.85,29.41,61,0,0,130,330,0,0,169,0,0.0,2,0,2,0
France,2006,Developing,86.0,92.0,3,12.4,5689.991931,39.0,40,58.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,0.6,0.87,16.1,Rabies,Neurological,16.98,1.29,5.04,36-60,Other,285560,93.33,0.73,9.31,Vaccination,5446,Yes,90.09,2164,2.62,82536,0.52,79.81,43,0,2,122,213,0,1,165,0,0.2,1,0,2,1
China,2000,Developing,71.7,115.0,490,3.06,17.46057369,6.0,71093,2.5,608,86.0,4.6,85.0,0.1,959.372181,1262645.0,5.9,5.1,0.583,9.5,Tuberculosis,Bacterial,6.24,7.93,9.81,61+,Other,675470,75.18,1.36,8.51,Surgery,2751,Yes,79.36,780,3.5,71574,0.79,84.32,62,1,0,120,267,0,1,99,1,1.8,1,2,3,0
Argentina,2002,Developing,74.1,138.0,12,7.81,470.1869145,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,1.0,0.776,16.3,Leprosy,Metabolic,15.32,9.02,0.45,36-60,Male,230199,84.85,1.63,9.04,Medication,23328,No,98.9,3649,9.59,96305,0.7,42.25,57,1,0,140,192,0,1,148,0,0.4,1,0,1,1
Mexico,2003,Developing,75.0,127.0,46,4.88,781.2062828,98.0,44,54.9,55,98.0,6.2,98.0,0.1,6751.998987,1564453.0,1.9,1.8,0.708,11.9,Diabetes,Neurological,10.48,13.38,5.89,36-60,Male,534754,83.8,3.57,1.02,Surgery,18222,Yes,95.33,4350,3.79,97216,0.75,44.35,42,1,2,130,180,0,1,150,0,0.0,2,0,2,1
Australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.918,19.0,Zika,Viral,4.62,9.35,5.33,36-60,Male,763509,77.17,4.56,1.35,Therapy,25148,No,54.33,1535,9.46,7241,0.89,81.71,53,1,0,123,282,0,1,95,1,2.0,1,2,3,0
Argentina,2014,Developing,76.2,118.0,8,7.93,847.3717463,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3,Ebola,Respiratory,16.31,1.37,7.6,36-60,Female,798423,83.1,1.25,8.79,Medication,13378,No,72.74,2162,0.06,27333,0.64,45.11,58,0,3,150,283,1,0,162,0,1.0,2,0,2,1
South Africa,2015,Developing,62.9,328.0,42,4.602860787172012,0.0,75.0,17,51.1,52,75.0,5.9381895280236,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,Zika,Autoimmune,10.47,8.17,8.03,36-60,Male,536924,73.62,3.74,6.24,Vaccination,17478,No,61.9,2085,8.26,50970,0.73,67.97,51,0,2,140,308,0,0,142,0,1.5,2,1,2,1
India,2015,Developing,68.3,181.0,910,4.602860787172012,0.0,87.0,90387,18.7,1100,86.0,5.9381895280236,87.0,0.2,1613.18878,1395398.0,26.7,27.3,0.615,11.6,Tuberculosis,Metabolic,9.61,12.28,3.02,61+,Other,693037,55.62,3.79,3.83,Vaccination,36442,No,97.73,3291,3.03,65952,0.63,22.44,65,1,0,135,254,0,0,127,0,2.8,1,1,3,0
Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,Zika,Genetic,4.34,10.78,4.49,36-60,Male,655471,51.8,0.92,5.88,Surgery,45228,Yes,71.94,2570,0.23,48185,0.86,78.27,56,0,1,140,294,0,0,153,0,1.3,1,0,2,1
Italy,2007,Developed,81.3,63.0,2,8.37,5228.821581,97.0,321,59.4,2,97.0,8.48,97.0,0.1,37698.78573,5843831.0,0.5,0.5,0.862,16.1,Polio,Neurological,12.99,5.24,5.08,36-60,Female,888852,64.17,2.42,8.38,Medication,36739,No,92.77,1521,1.85,55882,0.45,20.13,58,0,0,100,248,0,0,122,0,1.0,1,0,2,1
Canada,2015,Developing,82.2,64.0,2,4.602860787172012,0.0,55.0,195,67.0,2,91.0,5.9381895280236,91.0,0.1,43315.744,3584861.0,0.6,0.5,0.919,16.3,Influenza,Genetic,3.95,2.75,5.05,36-60,Female,55370,88.75,3.47,7.46,Therapy,25287,Yes,64.67,381,2.36,11510,0.43,35.05,42,1,1,120,295,0,1,162,0,0.0,2,0,2,1
France,2008,Developing,89.0,88.0,3,11.9,7002.785925,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1,Polio,Chronic,5.5,14.04,5.17,36-60,Other,712943,93.78,3.91,5.02,Therapy,36991,No,97.09,1986,0.75,87160,0.75,27.69,54,0,2,110,214,0,1,158,0,1.6,1,0,2,1
Italy,2002,Developed,80.0,72.0,2,9.25,2883.334911,95.0,9385,56.4,3,96.0,8.23,93.0,0.1,22196.5736,57597.0,0.5,0.5,0.836,15.2,Diabetes,Bacterial,5.37,4.29,7.38,36-60,Female,839429,67.32,1.77,7.76,Therapy,48143,Yes,56.88,29,5.88,73005,0.43,29.24,59,1,0,140,177,0,1,162,1,0.0,2,1,3,0
India,2005,Developing,64.4,211.0,1500,1.27,3.5096369,8.0,36711,13.5,2000,65.0,4.28,65.0,0.3,77.819,1144118674.0,27.2,28.1,0.526,9.4,Hypertension,Metabolic,8.8,14.09,2.75,36-60,Male,998071,92.85,1.5,1.92,Medication,13870,No,90.68,2227,3.57,97491,0.88,32.08,50,0,1,120,244,0,1,162,0,1.1,2,0,2,1
France,2012,Developing,81.5,83.0,3,11.5,751.3793553,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1,Ebola,Chronic,9.64,11.27,0.26,61+,Other,649336,52.7,2.77,6.2,Therapy,42978,No,93.13,517,7.72,38292,0.49,22.83,64,0,2,140,313,0,1,133,0,0.2,2,0,3,1
Turkey,2008,Developing,73.5,121.0,25,1.39,22.67271848,92.0,0,6.2,29,96.0,6.7,96.0,0.1,185.68975,74432.0,5.0,4.8,0.705,12.5,Cancer,Metabolic,7.21,14.02,1.21,36-60,Female,869294,65.84,2.15,5.35,Vaccination,44628,No,92.29,546,4.11,18529,0.41,62.8,41,1,2,112,250,0,1,179,0,0.0,2,0,2,1
Germany,2011,Developed,85.0,74.0,2,11.2,869.790735,88.0,1607,6.4,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8,Asthma,Parasitic,15.65,10.75,6.79,61+,Other,34852,83.22,3.36,1.23,Medication,23018,Yes,69.91,3700,4.48,43194,0.78,74.34,66,1,0,112,212,0,0,132,1,0.1,2,1,2,0
Germany,2014,Developed,89.0,69.0,2,11.03,941.7562909,88.0,443,61.9,3,94.0,11.3,95.0,0.1,4792.65288,89825.0,1.1,1.1,0.92,17.0,Zika,Parasitic,12.87,0.61,2.55,36-60,Female,778345,71.64,3.68,3.88,Vaccination,30912,No,55.94,950,8.87,30550,0.8,27.13,56,1,3,120,193,0,0,162,0,1.9,1,0,3,1
Indonesia,2009,Developing,67.9,189.0,143,0.08,125.7980678,82.0,20818,22.1,174,85.0,2.83,78.0,0.3,2254.44566,23934478.0,1.7,1.6,0.645,11.7,Diabetes,Cardiovascular,5.51,11.71,9.39,36-60,Other,410165,87.23,2.62,6.73,Vaccination,22880,No,75.78,2038,0.73,72269,0.64,47.58,57,0,0,120,354,0,1,163,1,0.6,2,0,2,1
Nigeria,2010,Developing,52.0,374.0,521,8.9,133.1230872,49.0,8491,22.2,817,54.0,3.47,54.0,4.8,2327.3267,158578261.0,11.3,11.2,0.492,9.5,Tuberculosis,Infectious,19.42,11.09,5.21,36-60,Female,174624,81.78,3.59,1.86,Therapy,16803,No,96.91,2640,6.86,73003,0.51,65.05,52,1,0,125,212,0,1,168,0,1.0,2,2,3,0
Australia,2007,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.918,19.0,Dengue,Bacterial,8.85,7.36,1.18,36-60,Other,110181,82.09,2.84,5.79,Vaccination,38243,No,83.92,655,8.69,93487,0.87,71.55,49,1,1,130,266,0,1,171,0,0.6,2,0,2,1
Australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,0.6,0.908,20.7,Hypertension,Cardiovascular,15.99,11.04,5.21,61+,Female,642093,56.05,1.11,6.04,Vaccination,8685,No,98.48,4862,4.74,16051,0.83,76.33,64,1,0,145,212,0,0,132,0,2.0,1,2,1,0
Nigeria,2001,Developing,47.4,48.0,574,9.58,15.830985,80.94046121593291,168107,17.3,936,36.0,3.25,27.0,5.1,351.7996666,125463434.0,14.1,14.1,0.0,8.0,Influenza,Parasitic,3.57,9.29,0.74,36-60,Male,310783,68.88,4.57,1.75,Therapy,7490,Yes,65.01,2518,2.85,10265,0.72,71.37,43,1,0,150,247,0,1,171,0,1.5,2,0,2,1
South Africa,2011,Developing,58.9,413.0,43,7.38,123.753335,76.0,92,47.9,58,69.0,8.61,69.0,8.5,849.954224,51729345.36,6.6,8.0,0.638,12.8,Measles,Cardiovascular,13.46,8.97,6.48,61+,Other,753933,54.1,2.26,5.01,Vaccination,17197,No,96.86,2702,3.61,96005,0.81,40.77,67,1,2,152,212,0,0,150,0,0.8,1,0,3,0
Brazil,2011,Developing,74.1,152.0,51,7.58,1084.999766,98.0,43,52.8,57,98.0,8.9,99.0,0.1,13167.47289,198686688.0,2.9,2.8,0.724,14.0,Malaria,Bacterial,17.98,12.81,1.76,61+,Female,648107,56.16,4.61,4.17,Vaccination,25164,No,93.07,3301,3.25,17295,0.65,75.9,67,1,0,120,229,0,0,129,1,2.6,1,2,3,0
China,2008,Developing,74.5,97.0,266,4.27,39.22509728,95.0,131441,26.5,308,99.0,4.59,97.0,0.1,3471.247547,1324655.0,4.5,4.0,0.672,11.9,Measles,Chronic,11.09,1.39,8.1,36-60,Male,514189,56.22,4.86,4.4,Surgery,49363,Yes,60.95,338,8.32,93975,0.47,76.06,47,1,2,130,253,0,1,179,0,0.0,2,0,2,1
Italy,2006,Developed,81.2,65.0,2,8.44,473.1915451,96.0,439,58.8,2,97.0,8.82,96.0,0.1,3341.7482,58143979.0,0.5,0.5,0.856,16.0,Cholera,Viral,6.73,5.7,7.17,36-60,Other,6154,84.49,0.64,7.91,Medication,34669,Yes,64.24,1447,5.52,65265,0.5,28.26,52,1,3,152,298,1,1,178,0,1.2,1,0,3,1
China,2010,Developing,75.0,92.0,231,5.75,5.660754839,99.0,38159,28.1,268,99.0,4.89,99.0,0.1,456.512487,133775.0,4.2,3.6,0.691,12.5,Measles,Neurological,11.2,13.77,9.41,61+,Other,534033,71.25,1.91,9.04,Medication,22831,No,73.64,2976,0.89,21181,0.59,65.45,62,1,2,130,231,0,1,146,0,1.8,1,3,3,1
Nigeria,2003,Developing,48.1,41.0,567,9.75,30.19550849,80.94046121593291,141258,18.3,918,42.0,4.5,29.0,5.4,512.65719,131972533.0,13.5,13.6,0.0,8.1,Hypertension,Metabolic,8.79,0.47,2.91,36-60,Other,719583,50.73,2.36,6.14,Surgery,4189,No,83.7,239,8.86,48239,0.59,76.66,48,1,0,122,222,0,0,186,0,0.0,2,0,2,1
China,2006,Developing,74.2,98.0,307,3.28,29.74342979,91.0,99602,24.9,360,94.0,4.52,93.0,0.1,299.229676,13112.0,4.8,4.3,0.646,11.0,Malaria,Cardiovascular,19.26,10.83,7.65,36-60,Male,592497,68.54,4.48,3.26,Vaccination,730,Yes,97.18,314,7.76,84441,0.77,48.99,51,1,2,94,227,0,1,154,1,0.0,2,1,3,1
